Age,Status,Pop
1,Célibataire,115055
1,Marié,
1,Veuf,
1,Divorcé,
2,Célibataire,118878
2,Marié,
2,Veuf,
2,Divorcé,
3,Célibataire,120690
3,Marié,
3,Veuf,
3,Divorcé,
4,Célibataire,122417
4,Marié,
4,Veuf,
4,Divorcé,
5,Célibataire,125491
5,Marié,
5,Veuf,
5,Divorcé,
6,Célibataire,126839
6,Marié,
6,Veuf,
6,Divorcé,
7,Célibataire,130335
7,Marié,
7,Veuf,
7,Divorcé,
8,Célibataire,130928
8,Marié,
8,Veuf,
8,Divorcé,
9,Célibataire,134060
9,Marié,
9,Veuf,
9,Divorcé,
10,Célibataire,135605
10,Marié,
10,Veuf,
10,Divorcé,
11,Célibataire,137911
11,Marié,
11,Veuf,
11,Divorcé,
12,Célibataire,136915
12,Marié,
12,Veuf,
12,Divorcé,
13,Célibataire,137401
13,Marié,
13,Veuf,
13,Divorcé,
14,Célibataire,134645
14,Marié,
14,Veuf,
14,Divorcé,
15,Célibataire,133696
15,Marié,
15,Veuf,
15,Divorcé,
16,Célibataire,130563
16,Marié,1
16,Veuf,
16,Divorcé,
17,Célibataire,129229
17,Marié,8
17,Veuf,
17,Divorcé,
18,Célibataire,127330
18,Marié,62
18,Veuf,
18,Divorcé,
19,Célibataire,127185
19,Marié,274
19,Veuf,
19,Divorcé,
20,Célibataire,129661
20,Marié,776
20,Veuf,
20,Divorcé,5
21,Célibataire,132460
21,Marié,1656
21,Veuf,2
21,Divorcé,22
22,Célibataire,130816
22,Marié,2839
22,Veuf,3
22,Divorcé,68
23,Célibataire,130676
23,Marié,4613
23,Veuf,5
23,Divorcé,112
24,Célibataire,131274
24,Marié,7188
24,Veuf,2
24,Divorcé,243
25,Célibataire,129848
25,Marié,10183
25,Veuf,14
25,Divorcé,402
26,Célibataire,126353
26,Marié,14277
26,Veuf,17
26,Divorcé,592
27,Célibataire,122779
27,Marié,19219
27,Veuf,22
27,Divorcé,908
28,Célibataire,121422
28,Marié,25276
28,Veuf,36
28,Divorcé,1356
29,Célibataire,118818
29,Marié,32058
29,Veuf,46
29,Divorcé,1970
30,Célibataire,113360
30,Marié,38660
30,Veuf,63
30,Divorcé,2851
31,Célibataire,107003
31,Marié,44137
31,Veuf,86
31,Divorcé,3611
32,Célibataire,99235
32,Marié,48726
32,Veuf,118
32,Divorcé,4615
33,Célibataire,93108
33,Marié,53809
33,Veuf,126
33,Divorcé,5683
34,Célibataire,87061
34,Marié,56174
34,Veuf,159
34,Divorcé,6666
35,Célibataire,82254
35,Marié,59656
35,Veuf,220
35,Divorcé,7767
36,Célibataire,76943
36,Marié,61124
36,Veuf,245
36,Divorcé,8898
37,Célibataire,74152
37,Marié,63412
37,Veuf,297
37,Divorcé,10299
38,Célibataire,70756
38,Marié,65743
38,Veuf,366
38,Divorcé,11429
39,Célibataire,69064
39,Marié,69176
39,Veuf,395
39,Divorcé,12819
40,Célibataire,66794
40,Marié,71360
40,Veuf,469
40,Divorcé,14384
41,Célibataire,64911
41,Marié,73660
41,Veuf,630
41,Divorcé,15772
42,Célibataire,60973
42,Marié,73736
42,Veuf,663
42,Divorcé,16850
43,Célibataire,57176
43,Marié,73902
43,Veuf,762
43,Divorcé,18333
44,Célibataire,54136
44,Marié,73981
44,Veuf,831
44,Divorcé,19352
45,Célibataire,50669
45,Marié,74056
45,Veuf,949
45,Divorcé,20459
46,Célibataire,47735
46,Marié,73303
46,Veuf,1061
46,Divorcé,21705
47,Célibataire,46287
47,Marié,76412
47,Veuf,1218
47,Divorcé,23615
48,Célibataire,44802
48,Marié,78291
48,Veuf,1361
48,Divorcé,25913
49,Célibataire,43244
49,Marié,81393
49,Veuf,1641
49,Divorcé,28287
50,Célibataire,40756
50,Marié,84594
50,Veuf,1971
50,Divorcé,30059
51,Célibataire,38606
51,Marié,86059
51,Veuf,2228
51,Divorcé,31624
52,Célibataire,34958
52,Marié,86523
52,Veuf,2428
52,Divorcé,32503
53,Célibataire,32319
53,Marié,87422
53,Veuf,2733
53,Divorcé,33049
54,Célibataire,30344
54,Marié,88061
54,Veuf,3012
54,Divorcé,33858
55,Célibataire,28964
55,Marié,91130
55,Veuf,3552
55,Divorcé,35000
56,Célibataire,27761
56,Marié,94184
56,Veuf,4130
56,Divorcé,35312
57,Célibataire,26229
57,Marié,97690
57,Veuf,4661
57,Divorcé,36454
58,Célibataire,24149
58,Marié,96286
58,Veuf,5138
58,Divorcé,35420
59,Célibataire,21726
59,Marié,95100
59,Veuf,5756
59,Divorcé,34252
60,Célibataire,20422
60,Marié,94926
60,Veuf,6381
60,Divorcé,33616
61,Célibataire,18634
61,Marié,93820
61,Veuf,7010
61,Divorcé,32826
62,Célibataire,16987
62,Marié,93989
62,Veuf,7974
62,Divorcé,32018
63,Célibataire,15682
63,Marié,91003
63,Veuf,8777
63,Divorcé,30410
64,Célibataire,14082
64,Marié,88897
64,Veuf,9253
64,Divorcé,29055
65,Célibataire,12490
65,Marié,86643
65,Veuf,10174
65,Divorcé,27524
66,Célibataire,11403
66,Marié,84722
66,Veuf,11049
66,Divorcé,26108
67,Célibataire,10414
67,Marié,82166
67,Veuf,11744
67,Divorcé,24669
68,Célibataire,9322
68,Marié,79747
68,Veuf,12570
68,Divorcé,22699
69,Célibataire,8604
69,Marié,77828
69,Veuf,13566
69,Divorcé,21595
70,Célibataire,7664
70,Marié,73610
70,Veuf,14068
70,Divorcé,19697
71,Célibataire,7084
71,Marié,72718
71,Veuf,15625
71,Divorcé,18723
72,Célibataire,6647
72,Marié,70856
72,Veuf,16720
72,Divorcé,17501
73,Célibataire,6206
73,Marié,69989
73,Veuf,18262
73,Divorcé,16377
74,Célibataire,5792
74,Marié,67214
74,Veuf,19166
74,Divorcé,15306
75,Célibataire,5311
75,Marié,65265
75,Veuf,20815
75,Divorcé,13912
76,Célibataire,4114
76,Marié,53054
76,Veuf,19421
76,Divorcé,10494
77,Célibataire,3894
77,Marié,50275
77,Veuf,20357
77,Divorcé,10045
78,Célibataire,3418
78,Marié,45190
78,Veuf,20537
78,Divorcé,8639
79,Célibataire,3076
79,Marié,37746
79,Veuf,19014
79,Divorcé,6756
80,Célibataire,2560
80,Marié,31775
80,Veuf,18421
80,Divorcé,5753
81,Célibataire,2821
81,Marié,32734
81,Veuf,21303
81,Divorcé,5727
82,Célibataire,2997
82,Marié,32395
82,Veuf,24074
82,Divorcé,5421
83,Célibataire,2764
83,Marié,29764
83,Veuf,25015
83,Divorcé,4788
84,Célibataire,2468
84,Marié,25530
84,Veuf,24309
84,Divorcé,4195
85,Célibataire,2290
85,Marié,21502
85,Veuf,24016
85,Divorcé,3446
86,Célibataire,2044
86,Marié,17918
86,Veuf,23556
86,Divorcé,2910
87,Célibataire,1912
87,Marié,15410
87,Veuf,23282
87,Divorcé,2432
88,Célibataire,1745
88,Marié,12127
88,Veuf,22175
88,Divorcé,2045
89,Célibataire,1548
89,Marié,9918
89,Veuf,21209
89,Divorcé,1633
90,Célibataire,1396
90,Marié,7567
90,Veuf,19342
90,Divorcé,1350
91,Célibataire,1205
91,Marié,5470
91,Veuf,17125
91,Divorcé,1089
92,Célibataire,936
92,Marié,3532
92,Veuf,13690
92,Divorcé,787
93,Célibataire,828
93,Marié,2318
93,Veuf,10943
93,Divorcé,563
94,Célibataire,644
94,Marié,1505
94,Veuf,8733
94,Divorcé,398
95,Célibataire,493
95,Marié,890
95,Veuf,6788
95,Divorcé,297
96,Célibataire,378
96,Marié,571
96,Veuf,5133
96,Divorcé,216
97,Célibataire,274
97,Marié,313
97,Veuf,3613
97,Divorcé,127
98,Célibataire,195
98,Marié,163
98,Veuf,2412
98,Divorcé,89
99,Célibataire,135
99,Marié,87
99,Veuf,1579
99,Divorcé,54
100,Célibataire,206
100,Marié,76
100,Veuf,2206
100,Divorcé,73
