"","age"
"1",87
"2",27
"3",30
"4",52
"5",60
"6",28
"7",73
"8",64
"9",55
"10",39
"11",31
"12",70
"13",27
"14",60
"15",64
"16",95
"17",43
"18",71
"19",63
"20",79
"21",34
"22",21
"23",36
"24",55
"25",80
"26",76
"27",52
"28",79
"29",24
"30",43
"31",53
"32",66
"33",25
"34",46
"35",55
"36",42
"37",67
"38",54
"39",36
"40",61
"41",29
"42",60
"43",46
"44",43
"45",69
"46",24
"47",88
"48",56
"49",63
"50",22
"51",31
"52",29
"53",30
"54",46
"55",32
"56",59
"57",40
"58",58
"59",50
"60",65
"61",39
"62",55
"63",37
"64",81
"65",74
"66",23
"67",76
"68",75
"69",24
"70",26
"71",75
"72",41
"73",33
"74",48
"75",75
"76",20
"77",58
"78",73
"79",23
"80",33
"81",62
"82",49
"83",43
"84",57
"85",45
"86",46
"87",61
"88",74
"89",27
"90",77
"91",86
"92",29
"93",56
"94",55
"95",50
"96",52
"97",20
"98",57
"99",51
"100",68
"101",23
"102",46
"103",36
"104",32
"105",27
"106",34
"107",58
"108",59
"109",47
"110",75
"111",33
"112",78
"113",76
"114",35
"115",76
"116",53
"117",43
"118",18
"119",70
"120",28
"121",89
"122",72
"123",59
"124",37
"125",55
"126",53
"127",22
"128",49
"129",73
"130",90
"131",18
"132",65
"133",58
"134",69
"135",21
"136",82
"137",50
"138",51
"139",42
"140",46
"141",72
"142",39
"143",31
"144",51
"145",18
"146",62
"147",33
"148",77
"149",31
"150",59
"151",27
"152",20
"153",40
"154",58
"155",74
"156",36
"157",26
"158",26
"159",63
"160",81
"161",53
"162",53
"163",51
"164",63
"165",49
"166",75
"167",35
"168",27
"169",53
"170",42
"171",63
"172",37
"173",19
"174",28
"175",64
"176",30
"177",37
"178",32
"179",22
"180",42
"181",59
"182",47
"183",78
"184",68
"185",46
"186",47
"187",61
"188",32
"189",51
"190",66
"191",61
"192",36
"193",25
"194",69
"195",79
"196",59
"197",59
"198",23
"199",80
"200",69
"201",39
"202",72
"203",27
"204",26
"205",51
"206",59
"207",60
"208",88
"209",51
"210",34
"211",78
"212",36
"213",52
"214",69
"215",24
"216",44
"217",28
"218",52
"219",18
"220",49
"221",44
"222",50
"223",80
"224",32
"225",85
"226",73
"227",19
"228",53
"229",24
"230",50
"231",25
"232",27
"233",58
"234",59
"235",19
"236",52
"237",20
"238",52
"239",39
"240",49
"241",52
"242",23
"243",70
"244",69
"245",48
"246",19
"247",65
"248",25
"249",39
"250",62
"251",63
"252",33
"253",61
"254",52
"255",41
"256",25
"257",32
"258",38
"259",25
"260",46
"261",69
"262",52
"263",57
"264",53
"265",59
"266",48
"267",85
"268",49
"269",77
"270",68
"271",78
"272",26
"273",66
"274",22
"275",27
"276",65
"277",38
"278",63
"279",43
"280",18
"281",44
"282",57
"283",65
"284",54
"285",41
"286",58
"287",55
"288",90
"289",72
"290",31
"291",42
"292",54
"293",49
"294",73
"295",74
"296",88
"297",72
"298",29
"299",19
"300",59
"301",80
"302",33
"303",78
"304",60
"305",51
"306",53
"307",31
"308",48
"309",58
"310",38
"311",75
"312",54
"313",45
"314",40
"315",35
"316",25
"317",25
"318",60
"319",34
"320",54
"321",68
"322",64
"323",55
"324",47
"325",24
"326",42
"327",60
"328",65
"329",55
"330",18
"331",29
"332",31
"333",34
