"","age","sex"
"1",87,"Female"
"2",27,"Male"
"3",30,"Female"
"4",52,"Male"
"5",60,"Female"
"6",28,"Male"
"7",73,"Male"
"8",64,"Female"
"9",55,"Male"
"10",39,"Male"
"11",31,"Male"
"12",70,"Female"
"13",27,"Male"
"14",60,"Male"
"15",64,"Female"
"16",95,"Male"
"17",43,"Female"
"18",71,"Male"
"19",63,"Female"
"20",79,"Male"
"21",34,"Male"
"22",21,"Male"
"23",36,"Male"
"24",55,"Female"
"25",80,"Female"
"26",76,"Male"
"27",52,"Male"
"28",79,"Female"
"29",24,"Male"
"30",43,"Male"
"31",53,"Male"
"32",66,"Female"
"33",25,"Male"
"34",46,"Female"
"35",55,"Male"
"36",42,"Female"
"37",67,"Female"
"38",54,"Male"
"39",36,"Male"
"40",61,"Female"
"41",29,"Female"
"42",60,"Male"
"43",46,"Female"
"44",43,"Male"
"45",69,"Female"
"46",24,"Female"
"47",88,"Female"
"48",56,"Male"
"49",63,"Female"
"50",22,"Female"
"51",31,"Female"
"52",29,"Male"
"53",30,"Male"
"54",46,"Male"
"55",32,"Female"
"56",59,"Female"
"57",40,"Male"
"58",58,"Female"
"59",50,"Male"
"60",65,"Male"
"61",39,"Female"
"62",55,"Male"
"63",37,"Female"
"64",81,"Female"
"65",74,"Female"
"66",23,"Female"
"67",76,"Female"
"68",75,"Female"
"69",24,"Male"
"70",26,"Female"
"71",75,"Female"
"72",41,"Male"
"73",33,"Male"
"74",48,"Female"
"75",75,"Male"
"76",20,"Male"
"77",58,"Female"
"78",73,"Male"
"79",23,"Male"
"80",33,"Male"
"81",62,"Male"
"82",49,"Male"
"83",43,"Male"
"84",57,"Male"
"85",45,"Female"
"86",46,"Male"
"87",61,"Male"
"88",74,"Male"
"89",27,"Female"
"90",77,"Male"
"91",86,"Male"
"92",29,"Male"
"93",56,"Female"
"94",55,"Female"
"95",50,"Male"
"96",52,"Female"
"97",20,"Female"
"98",57,"Male"
"99",51,"Female"
"100",68,"Female"
"101",23,"Female"
"102",46,"Male"
"103",36,"Female"
"104",32,"Male"
"105",27,"Female"
"106",34,"Female"
"107",58,"Female"
"108",59,"Female"
"109",47,"Female"
"110",75,"Male"
"111",33,"Male"
"112",78,"Female"
"113",76,"Male"
"114",35,"Female"
"115",76,"Female"
"116",53,"Female"
"117",43,"Female"
"118",18,"Male"
"119",70,"Male"
"120",28,"Male"
"121",89,"Female"
"122",72,"Female"
"123",59,"Female"
"124",37,"Female"
"125",55,"Male"
"126",53,"Male"
"127",22,"Male"
"128",49,"Female"
"129",73,"Male"
"130",90,"Female"
"131",18,"Female"
"132",65,"Male"
"133",58,"Female"
"134",69,"Male"
"135",21,"Female"
"136",82,"Male"
"137",50,"Female"
"138",51,"Female"
"139",42,"Male"
"140",46,"Male"
"141",72,"Male"
"142",39,"Male"
"143",31,"Female"
"144",51,"Female"
"145",18,"Male"
"146",62,"Male"
"147",33,"Female"
"148",77,"Male"
"149",31,"Female"
"150",59,"Female"
"151",27,"Female"
"152",20,"Male"
"153",40,"Female"
"154",58,"Female"
"155",74,"Male"
"156",36,"Male"
"157",26,"Male"
"158",26,"Female"
"159",63,"Male"
"160",81,"Male"
"161",53,"Female"
"162",53,"Male"
"163",51,"Female"
"164",63,"Female"
"165",49,"Male"
"166",75,"Female"
"167",35,"Female"
"168",27,"Male"
"169",53,"Female"
"170",42,"Female"
"171",63,"Female"
"172",37,"Male"
"173",19,"Female"
"174",28,"Male"
"175",64,"Male"
"176",30,"Male"
"177",37,"Male"
"178",32,"Female"
"179",22,"Male"
"180",42,"Male"
"181",59,"Male"
"182",47,"Male"
"183",78,"Male"
"184",68,"Female"
"185",46,"Female"
"186",47,"Female"
"187",61,"Male"
"188",32,"Male"
"189",51,"Female"
"190",66,"Male"
"191",61,"Male"
"192",36,"Male"
"193",25,"Female"
"194",69,"Male"
"195",79,"Female"
"196",59,"Female"
"197",59,"Male"
"198",23,"Male"
"199",80,"Female"
"200",69,"Female"
"201",39,"Female"
"202",72,"Female"
"203",27,"Male"
"204",26,"Female"
"205",51,"Female"
"206",59,"Male"
"207",60,"Female"
"208",88,"Male"
"209",51,"Female"
"210",34,"Male"
"211",78,"Female"
"212",36,"Female"
"213",52,"Male"
"214",69,"Male"
"215",24,"Female"
"216",44,"Male"
"217",28,"Female"
"218",52,"Female"
"219",18,"Female"
"220",49,"Female"
"221",44,"Female"
"222",50,"Female"
"223",80,"Male"
"224",32,"Female"
"225",85,"Female"
"226",73,"Male"
"227",19,"Female"
"228",53,"Female"
"229",24,"Male"
"230",50,"Male"
"231",25,"Female"
"232",27,"Male"
"233",58,"Female"
"234",59,"Female"
"235",19,"Female"
"236",52,"Female"
"237",20,"Female"
"238",52,"Female"
"239",39,"Male"
"240",49,"Male"
"241",52,"Male"
"242",23,"Female"
"243",70,"Female"
"244",69,"Female"
"245",48,"Female"
"246",19,"Female"
"247",65,"Male"
"248",25,"Female"
"249",39,"Female"
"250",62,"Male"
"251",63,"Female"
"252",33,"Female"
"253",61,"Female"
"254",52,"Male"
"255",41,"Female"
"256",25,"Male"
"257",32,"Female"
"258",38,"Male"
"259",25,"Male"
"260",46,"Female"
"261",69,"Female"
"262",52,"Male"
"263",57,"Male"
"264",53,"Female"
"265",59,"Female"
"266",48,"Female"
"267",85,"Female"
"268",49,"Male"
"269",77,"Female"
"270",68,"Female"
"271",78,"Male"
"272",26,"Male"
"273",66,"Female"
"274",22,"Male"
"275",27,"Female"
"276",65,"Male"
"277",38,"Male"
"278",63,"Male"
"279",43,"Male"
"280",18,"Male"
"281",44,"Male"
"282",57,"Male"
"283",65,"Female"
"284",54,"Female"
"285",41,"Female"
"286",58,"Male"
"287",55,"Female"
"288",90,"Female"
"289",72,"Male"
"290",31,"Female"
"291",42,"Female"
"292",54,"Female"
"293",49,"Male"
"294",73,"Female"
"295",74,"Female"
"296",88,"Female"
"297",72,"Female"
"298",29,"Female"
"299",19,"Male"
"300",59,"Female"
"301",80,"Male"
"302",33,"Male"
"303",78,"Male"
"304",60,"Male"
"305",51,"Male"
"306",53,"Male"
"307",31,"Female"
"308",48,"Female"
"309",58,"Female"
"310",38,"Male"
"311",75,"Male"
"312",54,"Male"
"313",45,"Male"
"314",40,"Male"
"315",35,"Male"
"316",25,"Female"
"317",25,"Female"
"318",60,"Female"
"319",34,"Male"
"320",54,"Female"
"321",68,"Female"
"322",64,"Female"
"323",55,"Male"
"324",47,"Male"
"325",24,"Male"
"326",42,"Male"
"327",60,"Female"
"328",65,"Female"
"329",55,"Female"
"330",18,"Female"
"331",29,"Female"
"332",31,"Female"
"333",34,"Male"
"334",89,"Male"
"335",21,"Female"
"336",51,"Male"
"337",41,"Female"
"338",82,"Female"
"339",57,"Male"
"340",19,"Male"
"341",57,"Male"
"342",36,"Female"
"343",32,"Female"
"344",23,"Male"
"345",30,"Female"
"346",44,"Male"
"347",78,"Male"
"348",59,"Male"
"349",69,"Female"
"350",27,"Female"
"351",24,"Female"
"352",51,"Male"
"353",62,"Male"
"354",18,"Female"
"355",71,"Female"
"356",46,"Female"
"357",65,"Male"
"358",49,"Male"
"359",48,"Male"
"360",48,"Male"
"361",41,"Male"
"362",35,"Female"
"363",75,"Male"
"364",62,"Female"
"365",24,"Female"
"366",52,"Female"
"367",29,"Female"
"368",59,"Male"
"369",35,"Female"
"370",33,"Male"
"371",59,"Male"
"372",53,"Female"
"373",64,"Male"
"374",66,"Male"
"375",81,"Female"
"376",30,"Male"
"377",82,"Female"
"378",52,"Female"
"379",58,"Female"
"380",77,"Male"
"381",42,"Male"
"382",21,"Female"
"383",66,"Male"
"384",41,"Male"
"385",83,"Female"
"386",46,"Female"
"387",59,"Female"
"388",57,"Female"
"389",25,"Male"
"390",41,"Female"
"391",80,"Female"
"392",28,"Male"
"393",22,"Female"
"394",80,"Male"
"395",68,"Female"
"396",45,"Male"
"397",66,"Male"
"398",64,"Male"
"399",60,"Male"
"400",25,"Male"
"401",34,"Male"
"402",76,"Male"
"403",43,"Male"
"404",30,"Female"
"405",50,"Male"
"406",31,"Female"
"407",30,"Female"
"408",60,"Male"
"409",54,"Male"
"410",41,"Male"
"411",36,"Male"
"412",45,"Female"
"413",18,"Female"
"414",55,"Female"
"415",21,"Male"
"416",64,"Female"
"417",26,"Female"
"418",59,"Female"
"419",45,"Male"
"420",44,"Male"
"421",90,"Female"
"422",38,"Male"
"423",53,"Male"
"424",61,"Male"
"425",18,"Male"
"426",38,"Male"
"427",57,"Female"
"428",69,"Male"
"429",40,"Male"
"430",53,"Male"
"431",19,"Female"
"432",33,"Male"
"433",24,"Female"
"434",82,"Female"
"435",33,"Female"
"436",72,"Female"
"437",22,"Female"
"438",49,"Female"
"439",37,"Female"
"440",28,"Female"
"441",46,"Female"
"442",77,"Male"
"443",57,"Male"
"444",57,"Female"
"445",59,"Female"
"446",63,"Female"
"447",42,"Male"
"448",18,"Male"
"449",59,"Male"
"450",61,"Female"
"451",78,"Female"
"452",81,"Female"
"453",20,"Male"
"454",54,"Male"
"455",23,"Male"
"456",46,"Female"
"457",84,"Male"
"458",63,"Male"
"459",60,"Male"
"460",87,"Female"
"461",53,"Male"
"462",87,"Male"
"463",62,"Female"
"464",86,"Female"
"465",60,"Female"
"466",57,"Male"
"467",32,"Female"
"468",33,"Male"
"469",18,"Male"
"470",85,"Female"
"471",41,"Male"
"472",93,"Female"
"473",44,"Female"
"474",40,"Female"
"475",68,"Female"
"476",25,"Male"
"477",69,"Male"
