"","age","gender","status"
"1",87,"Female","Married"
"2",27,"Male","Single"
"3",30,"Female","Single"
"4",52,"Male","Married"
"5",60,"Female","Divorced"
"6",28,"Male","Single"
"7",73,"Male","Married"
"8",64,"Female","Divorced"
"9",55,"Male","Married"
"10",39,"Male","Married"
"11",31,"Male","Single"
"12",70,"Female","Married"
"13",27,"Male","Single"
"14",60,"Male","Married"
"15",64,"Female","Single"
"16",95,"Male","Widowed"
"17",43,"Female","Married"
"18",71,"Male","Single"
"19",63,"Female","Divorced"
"20",79,"Male","Married"
"21",34,"Male","Married"
"22",21,"Male","Single"
"23",36,"Male","Single"
"24",55,"Female","Married"
"25",80,"Female","Widowed"
"26",76,"Male","Widowed"
"27",52,"Male","Married"
"28",79,"Female","Married"
"29",24,"Male","Single"
"30",43,"Male","Divorced"
"31",53,"Male","Divorced"
"32",66,"Female","Married"
"33",25,"Male","Single"
"34",46,"Female","Divorced"
"35",55,"Male","Single"
"36",42,"Female","Single"
"37",67,"Female","Married"
"38",54,"Male","Married"
"39",36,"Male","Married"
"40",61,"Female","Married"
"41",29,"Female","Single"
"42",60,"Male","Married"
"43",46,"Female","Single"
"44",43,"Male","Widowed"
"45",69,"Female","Divorced"
"46",24,"Female","Single"
"47",88,"Female","Married"
"48",56,"Male","Married"
"49",63,"Female","Single"
"50",22,"Female","Single"
"51",31,"Female","Single"
"52",29,"Male","Married"
"53",30,"Male","Single"
"54",46,"Male","Single"
"55",32,"Female","Single"
"56",59,"Female","Widowed"
"57",40,"Male","Single"
"58",58,"Female","Married"
"59",50,"Male","Single"
"60",65,"Male","Married"
"61",39,"Female","Married"
"62",55,"Male","Married"
"63",37,"Female","Single"
"64",81,"Female","Widowed"
"65",74,"Female","Married"
"66",23,"Female","Single"
"67",76,"Female","Married"
"68",75,"Female","Single"
"69",24,"Male","Single"
"70",26,"Female","Single"
"71",75,"Female","Married"
"72",41,"Male","Married"
"73",33,"Male","Single"
"74",48,"Female","Married"
"75",75,"Male","Widowed"
"76",20,"Male","Single"
"77",58,"Female","Married"
"78",73,"Male","Married"
"79",23,"Male","Single"
"80",33,"Male","Married"
"81",62,"Male","Married"
"82",49,"Male","Married"
"83",43,"Male","Single"
"84",57,"Male","Married"
"85",45,"Female","Single"
"86",46,"Male","Married"
"87",61,"Male","Widowed"
"88",74,"Male","Married"
"89",27,"Female","Married"
"90",77,"Male","Widowed"
"91",86,"Male","Single"
"92",29,"Male","Single"
"93",56,"Female","Married"
"94",55,"Female","Married"
"95",50,"Male","Married"
"96",52,"Female","Married"
"97",20,"Female","Single"
"98",57,"Male","Married"
"99",51,"Female","Divorced"
"100",68,"Female","Married"
"101",23,"Female","Single"
"102",46,"Male","Married"
"103",36,"Female","Single"
"104",32,"Male","Married"
"105",27,"Female","Single"
"106",34,"Female","Married"
"107",58,"Female","Married"
"108",59,"Female","Divorced"
"109",47,"Female","Married"
"110",75,"Male","Divorced"
"111",33,"Male","Single"
"112",78,"Female","Married"
"113",76,"Male","Married"
"114",35,"Female","Single"
"115",76,"Female","Widowed"
"116",53,"Female","Single"
"117",43,"Female","Married"
"118",18,"Male","Single"
"119",70,"Male","Married"
"120",28,"Male","Single"
"121",89,"Female","Widowed"
"122",72,"Female","Married"
"123",59,"Female","Married"
"124",37,"Female","Single"
"125",55,"Male","Married"
"126",53,"Male","Widowed"
"127",22,"Male","Single"
"128",49,"Female","Married"
"129",73,"Male","Married"
"130",90,"Female","Married"
"131",18,"Female","Single"
"132",65,"Male","Married"
"133",58,"Female","Married"
"134",69,"Male","Married"
"135",21,"Female","Single"
"136",82,"Male","Married"
"137",50,"Female","Married"
"138",51,"Female","Single"
"139",42,"Male","Married"
"140",46,"Male","Single"
"141",72,"Male","Married"
"142",39,"Male","Single"
"143",31,"Female","Single"
"144",51,"Female","Married"
"145",18,"Male","Single"
"146",62,"Male","Married"
"147",33,"Female","Single"
"148",77,"Male","Married"
"149",31,"Female","Single"
"150",59,"Female","Married"
"151",27,"Female","Single"
"152",20,"Male","Single"
"153",40,"Female","Single"
"154",58,"Female","Divorced"
"155",74,"Male","Single"
"156",36,"Male","Married"
"157",26,"Male","Single"
"158",26,"Female","Single"
"159",63,"Male","Married"
"160",81,"Male","Married"
"161",53,"Female","Married"
"162",53,"Male","Married"
"163",51,"Female","Married"
"164",63,"Female","Married"
"165",49,"Male","Married"
"166",75,"Female","Married"
"167",35,"Female","Single"
"168",27,"Male","Single"
"169",53,"Female","Single"
"170",42,"Female","Married"
"171",63,"Female","Married"
"172",37,"Male","Married"
"173",19,"Female","Single"
"174",28,"Male","Single"
