"","age","gender","status","salary"
"1",87,"Female","Married",4677
"2",27,"Male","Single",2923
"3",30,"Female","Single",3675
"4",52,"Male","Married",3963
"5",60,"Female","Divorced",4653
"6",28,"Male","Single",2766
"7",73,"Male","Married",5675
"8",64,"Female","Divorced",4658
"9",55,"Male","Married",4153
"10",39,"Male","Married",3089
"11",31,"Male","Single",3083
"12",70,"Female","Married",5049
"13",27,"Male","Single",3019
"14",60,"Male","Married",5433
"15",64,"Female","Single",4342
"16",95,"Male","Widowed",5032
"17",43,"Female","Married",3292
"18",71,"Male","Single",5306
"19",63,"Female","Divorced",4977
"20",79,"Male","Married",4773
"21",34,"Male","Married",3964
"22",21,"Male","Single",2759
"23",36,"Male","Single",3979
"24",55,"Female","Married",4429
"25",80,"Female","Widowed",5849
"26",76,"Male","Widowed",4572
"27",52,"Male","Married",4697
"28",79,"Female","Married",4893
"29",24,"Male","Single",2610
"30",43,"Male","Divorced",4194
"31",53,"Male","Divorced",4122
"32",66,"Female","Married",4810
"33",25,"Male","Single",3630
"34",46,"Female","Divorced",4983
"35",55,"Male","Single",4909
"36",42,"Female","Single",3578
"37",67,"Female","Married",5367
"38",54,"Male","Married",4319
"39",36,"Male","Married",4323
"40",61,"Female","Married",5152
"41",29,"Female","Single",3009
"42",60,"Male","Married",4149
"43",46,"Female","Single",3954
"44",43,"Male","Widowed",3906
"45",69,"Female","Divorced",5263
"46",24,"Female","Single",1963
"47",88,"Female","Married",5260
"48",56,"Male","Married",3969
"49",63,"Female","Single",4750
"50",22,"Female","Single",2125
"51",31,"Female","Single",2960
"52",29,"Male","Married",3390
"53",30,"Male","Single",2201
"54",46,"Male","Single",4662
"55",32,"Female","Single",3463
"56",59,"Female","Widowed",3715
"57",40,"Male","Single",3855
"58",58,"Female","Married",4197
"59",50,"Male","Single",4097
"60",65,"Male","Married",4635
"61",39,"Female","Married",4101
"62",55,"Male","Married",4498
"63",37,"Female","Single",4070
"64",81,"Female","Widowed",5131
"65",74,"Female","Married",4689
"66",23,"Female","Single",3040
"67",76,"Female","Married",4948
"68",75,"Female","Single",5868
"69",24,"Male","Single",2427
"70",26,"Female","Single",2888
"71",75,"Female","Married",4234
"72",41,"Male","Married",4098
"73",33,"Male","Single",3519
"74",48,"Female","Married",3991
"75",75,"Male","Widowed",5177
"76",20,"Male","Single",2251
"77",58,"Female","Married",4591
"78",73,"Male","Married",5456
"79",23,"Male","Single",2695
"80",33,"Male","Married",3596
"81",62,"Male","Married",5104
"82",49,"Male","Married",4492
"83",43,"Male","Single",4374
"84",57,"Male","Married",4526
"85",45,"Female","Single",3926
"86",46,"Male","Married",3254
"87",61,"Male","Widowed",5345
"88",74,"Male","Married",3968
"89",27,"Female","Married",3280
"90",77,"Male","Widowed",4349
"91",86,"Male","Single",4993
"92",29,"Male","Single",3469
"93",56,"Female","Married",4609
"94",55,"Female","Married",4654
"95",50,"Male","Married",3954
"96",52,"Female","Married",4454
"97",20,"Female","Single",1877
"98",57,"Male","Married",4713
"99",51,"Female","Divorced",4261
"100",68,"Female","Married",4919
"101",23,"Female","Single",2554
"102",46,"Male","Married",3865
"103",36,"Female","Single",3275
"104",32,"Male","Married",2798
"105",27,"Female","Single",2550
"106",34,"Female","Married",3968
"107",58,"Female","Married",4738
"108",59,"Female","Divorced",4813
"109",47,"Female","Married",4257
"110",75,"Male","Divorced",4988
"111",33,"Male","Single",3684
"112",78,"Female","Married",4690
"113",76,"Male","Married",4929
"114",35,"Female","Single",3601
"115",76,"Female","Widowed",4794
"116",53,"Female","Single",3712
"117",43,"Female","Married",4631
"118",18,"Male","Single",2163
"119",70,"Male","Married",4426
"120",28,"Male","Single",2642
"121",89,"Female","Widowed",5489
"122",72,"Female","Married",5233
"123",59,"Female","Married",4363
"124",37,"Female","Single",4008
"125",55,"Male","Married",4162
"126",53,"Male","Widowed",4431
"127",22,"Male","Single",3677
"128",49,"Female","Married",4212
"129",73,"Male","Married",4799
"130",90,"Female","Married",4942
"131",18,"Female","Single",2154
"132",65,"Male","Married",4997
"133",58,"Female","Married",4616
"134",69,"Male","Married",5140
"135",21,"Female","Single",3403
"136",82,"Male","Married",5012
"137",50,"Female","Married",4286
"138",51,"Female","Single",4716
"139",42,"Male","Married",4292
"140",46,"Male","Single",4289
"141",72,"Male","Married",5800
"142",39,"Male","Single",3997
"143",31,"Female","Single",3539
"144",51,"Female","Married",3973
"145",18,"Male","Single",2993
"146",62,"Male","Married",5357
"147",33,"Female","Single",3770
"148",77,"Male","Married",5620
"149",31,"Female","Single",3961
"150",59,"Female","Married",4467
"151",27,"Female","Single",2927
"152",20,"Male","Single",1967
"153",40,"Female","Single",4014
"154",58,"Female","Divorced",3654
"155",74,"Male","Single",5609
"156",36,"Male","Married",3664
"157",26,"Male","Single",3856
"158",26,"Female","Single",2612
"159",63,"Male","Married",4483
"160",81,"Male","Married",4736
"161",53,"Female","Married",4105
"162",53,"Male","Married",3784
"163",51,"Female","Married",4218
"164",63,"Female","Married",4748
"165",49,"Male","Married",4561
"166",75,"Female","Married",4969
"167",35,"Female","Single",3529
"168",27,"Male","Single",2346
"169",53,"Female","Single",4438
"170",42,"Female","Married",4466
"171",63,"Female","Married",5446
"172",37,"Male","Married",3882
"173",19,"Female","Single",2453
"174",28,"Male","Single",3121
"175",64,"Male","Married",5158
"176",30,"Male","Single",3729
"177",37,"Male","Single",3351
"178",32,"Female","Single",3297
"179",22,"Male","Single",2547
"180",42,"Male","Single",3714
"181",59,"Male","Married",4650
"182",47,"Male","Single",4256
"183",78,"Male","Married",5031
"184",68,"Female","Divorced",4900
"185",46,"Female","Single",3454
"186",47,"Female","Married",4378
"187",61,"Male","Widowed",4635
"188",32,"Male","Single",3360
"189",51,"Female","Married",5025
"190",66,"Male","Married",5281
"191",61,"Male","Married",5411
"192",36,"Male","Single",3835
"193",25,"Female","Single",2723
"194",69,"Male","Divorced",4413
"195",79,"Female","Divorced",5111
"196",59,"Female","Married",4697
"197",59,"Male","Married",4097
"198",23,"Male","Single",2199
"199",80,"Female","Married",4985
"200",69,"Female","Married",5198
"201",39,"Female","Married",3217
"202",72,"Female","Single",5601
"203",27,"Male","Single",2517
"204",26,"Female","Single",3029
"205",51,"Female","Single",4486
"206",59,"Male","Single",4204
"207",60,"Female","Married",5417
"208",88,"Male","Widowed",5341
"209",51,"Female","Divorced",3837
"210",34,"Male","Single",2941
"211",78,"Female","Single",4904
"212",36,"Female","Single",3598
"213",52,"Male","Married",4530
