"","age","gender","status","salary","bank"
"1",87,"Female","Married",4677,"bandit-profit"
"2",27,"Male","Single",2923,"bandit-picsou"
"3",30,"Female","Single",3675,"bandit-picsou"
"4",52,"Male","Married",3963,"bandit-picsou"
"5",60,"Female","Divorced",4653,"bandit-profit"
"6",28,"Male","Single",2766,"bandit-donsaluste"
"7",73,"Male","Married",5675,"bandit-donsaluste"
"8",64,"Female","Divorced",4658,"bandit-profit"
"9",55,"Male","Married",4153,"bandit-donsaluste"
"10",39,"Male","Married",3089,"bandit-picsou"
"11",31,"Male","Single",3083,"bandit-radinou"
"12",70,"Female","Married",5049,"bandit-picsou"
"13",27,"Male","Single",3019,"bandit-profit"
"14",60,"Male","Married",5433,"bandit-profit"
"15",64,"Female","Single",4342,"bandit-profit"
"16",95,"Male","Widowed",5032,"bandit-picsou"
"17",43,"Female","Married",3292,"bandit-profit"
"18",71,"Male","Single",5306,"bandit-profit"
"19",63,"Female","Divorced",4977,"bandit-profit"
"20",79,"Male","Married",4773,"bandit-donsaluste"
"21",34,"Male","Married",3964,"bandit-donsaluste"
"22",21,"Male","Single",2759,"bandit-radinou"
"23",36,"Male","Single",3979,"bandit-picsou"
"24",55,"Female","Married",4429,"bandit-profit"
"25",80,"Female","Widowed",5849,"bandit-donsaluste"
"26",76,"Male","Widowed",4572,"bandit-profit"
"27",52,"Male","Married",4697,"bandit-donsaluste"
"28",79,"Female","Married",4893,"bandit-profit"
"29",24,"Male","Single",2610,"bandit-donsaluste"
"30",43,"Male","Divorced",4194,"bandit-donsaluste"
"31",53,"Male","Divorced",4122,"bandit-donsaluste"
"32",66,"Female","Married",4810,"bandit-radinou"
"33",25,"Male","Single",3630,"bandit-picsou"
"34",46,"Female","Divorced",4983,"bandit-donsaluste"
"35",55,"Male","Single",4909,"bandit-donsaluste"
"36",42,"Female","Single",3578,"bandit-profit"
"37",67,"Female","Married",5367,"bandit-profit"
"38",54,"Male","Married",4319,"bandit-donsaluste"
"39",36,"Male","Married",4323,"bandit-picsou"
"40",61,"Female","Married",5152,"bandit-donsaluste"
"41",29,"Female","Single",3009,"bandit-picsou"
"42",60,"Male","Married",4149,"bandit-donsaluste"
"43",46,"Female","Single",3954,"bandit-donsaluste"
"44",43,"Male","Widowed",3906,"bandit-profit"
"45",69,"Female","Divorced",5263,"bandit-profit"
"46",24,"Female","Single",1963,"bandit-radinou"
"47",88,"Female","Married",5260,"bandit-profit"
"48",56,"Male","Married",3969,"bandit-profit"
"49",63,"Female","Single",4750,"bandit-picsou"
"50",22,"Female","Single",2125,"bandit-picsou"
"51",31,"Female","Single",2960,"bandit-radinou"
"52",29,"Male","Married",3390,"bandit-radinou"
"53",30,"Male","Single",2201,"bandit-picsou"
"54",46,"Male","Single",4662,"bandit-donsaluste"
"55",32,"Female","Single",3463,"bandit-radinou"
"56",59,"Female","Widowed",3715,"bandit-radinou"
"57",40,"Male","Single",3855,"bandit-donsaluste"
"58",58,"Female","Married",4197,"bandit-profit"
"59",50,"Male","Single",4097,"bandit-donsaluste"
"60",65,"Male","Married",4635,"bandit-donsaluste"
"61",39,"Female","Married",4101,"bandit-donsaluste"
"62",55,"Male","Married",4498,"bandit-donsaluste"
"63",37,"Female","Single",4070,"bandit-donsaluste"
"64",81,"Female","Widowed",5131,"bandit-donsaluste"
"65",74,"Female","Married",4689,"bandit-picsou"
"66",23,"Female","Single",3040,"bandit-radinou"
"67",76,"Female","Married",4948,"bandit-profit"
"68",75,"Female","Single",5868,"bandit-profit"
"69",24,"Male","Single",2427,"bandit-picsou"
"70",26,"Female","Single",2888,"bandit-picsou"
"71",75,"Female","Married",4234,"bandit-donsaluste"
"72",41,"Male","Married",4098,"bandit-donsaluste"
"73",33,"Male","Single",3519,"bandit-radinou"
"74",48,"Female","Married",3991,"bandit-profit"
"75",75,"Male","Widowed",5177,"bandit-donsaluste"
"76",20,"Male","Single",2251,"bandit-radinou"
"77",58,"Female","Married",4591,"bandit-profit"
"78",73,"Male","Married",5456,"bandit-profit"
"79",23,"Male","Single",2695,"bandit-donsaluste"
"80",33,"Male","Married",3596,"bandit-profit"
"81",62,"Male","Married",5104,"bandit-donsaluste"
"82",49,"Male","Married",4492,"bandit-picsou"
"83",43,"Male","Single",4374,"bandit-picsou"
"84",57,"Male","Married",4526,"bandit-profit"
"85",45,"Female","Single",3926,"bandit-donsaluste"
"86",46,"Male","Married",3254,"bandit-donsaluste"
"87",61,"Male","Widowed",5345,"bandit-donsaluste"
"88",74,"Male","Married",3968,"bandit-profit"
"89",27,"Female","Married",3280,"bandit-picsou"
"90",77,"Male","Widowed",4349,"bandit-profit"
"91",86,"Male","Single",4993,"bandit-donsaluste"
"92",29,"Male","Single",3469,"bandit-picsou"
"93",56,"Female","Married",4609,"bandit-donsaluste"
"94",55,"Female","Married",4654,"bandit-picsou"
"95",50,"Male","Married",3954,"bandit-donsaluste"
"96",52,"Female","Married",4454,"bandit-profit"
"97",20,"Female","Single",1877,"bandit-radinou"
"98",57,"Male","Married",4713,"bandit-profit"
"99",51,"Female","Divorced",4261,"bandit-profit"
"100",68,"Female","Married",4919,"bandit-profit"
"101",23,"Female","Single",2554,"bandit-radinou"
"102",46,"Male","Married",3865,"bandit-donsaluste"
