"","age","gender","status","salary","bank","activity","amount"
"1",87,"Female","Married",4677,"bandit-profit","Trading Cards",50
"2",27,"Male","Single",2923,"bandit-picsou","Trading Cards",47
"3",30,"Female","Single",3675,"bandit-picsou","Dachshunds",356
"4",52,"Male","Married",3963,"bandit-picsou","Dachshunds",302
"5",60,"Female","Divorced",4653,"bandit-profit","Dachshunds",515
"6",28,"Male","Single",2766,"bandit-donsaluste","Dachshunds",339
"7",73,"Male","Married",5675,"bandit-donsaluste","Brass Animals",125
"8",64,"Female","Divorced",4658,"bandit-profit","Dachshunds",456
"9",55,"Male","Married",4153,"bandit-donsaluste","Dachshunds",497
"10",39,"Male","Married",3089,"bandit-picsou","Dachshunds",421
"11",31,"Male","Single",3083,"bandit-radinou","Brass Animals",101
"12",70,"Female","Married",5049,"bandit-picsou","Brass Animals",115
"13",27,"Male","Single",3019,"bandit-profit","Trading Cards",49
"14",60,"Male","Married",5433,"bandit-profit","Trading Cards",62
"15",64,"Female","Single",4342,"bandit-profit","Dachshunds",381
"16",95,"Male","Widowed",5032,"bandit-picsou","Brass Animals",58
"17",43,"Female","Married",3292,"bandit-profit","Dachshunds",410
"18",71,"Male","Single",5306,"bandit-profit","Trading Cards",37
"19",63,"Female","Divorced",4977,"bandit-profit","Dachshunds",414
"20",79,"Male","Married",4773,"bandit-donsaluste","Brass Animals",87
"21",34,"Male","Married",3964,"bandit-donsaluste","Dachshunds",350
"22",21,"Male","Single",2759,"bandit-radinou","Dachshunds",434
"23",36,"Male","Single",3979,"bandit-picsou","Trading Cards",45
"24",55,"Female","Married",4429,"bandit-profit","Trading Cards",30
"25",80,"Female","Widowed",5849,"bandit-donsaluste","Brass Animals",99
"26",76,"Male","Widowed",4572,"bandit-profit","Brass Animals",83
"27",52,"Male","Married",4697,"bandit-donsaluste","Trading Cards",49
"28",79,"Female","Married",4893,"bandit-profit","Trading Cards",39
"29",24,"Male","Single",2610,"bandit-donsaluste","Trading Cards",43
"30",43,"Male","Divorced",4194,"bandit-donsaluste","Dachshunds",386
"31",53,"Male","Divorced",4122,"bandit-donsaluste","Dachshunds",354
"32",66,"Female","Married",4810,"bandit-radinou","Dachshunds",379
"33",25,"Male","Single",3630,"bandit-picsou","Dachshunds",449
"34",46,"Female","Divorced",4983,"bandit-donsaluste","Dachshunds",334
"35",55,"Male","Single",4909,"bandit-donsaluste","Brass Animals",97
"36",42,"Female","Single",3578,"bandit-profit","Dachshunds",436
"37",67,"Female","Married",5367,"bandit-profit","Dachshunds",537
"38",54,"Male","Married",4319,"bandit-donsaluste","Dachshunds",499
"39",36,"Male","Married",4323,"bandit-picsou","Brass Animals",78
"40",61,"Female","Married",5152,"bandit-donsaluste","Dachshunds",366
"41",29,"Female","Single",3009,"bandit-picsou","Dachshunds",387
"42",60,"Male","Married",4149,"bandit-donsaluste","Dachshunds",349
"43",46,"Female","Single",3954,"bandit-donsaluste","Dachshunds",263
"44",43,"Male","Widowed",3906,"bandit-profit","Dachshunds",487
"45",69,"Female","Divorced",5263,"bandit-profit","Brass Animals",111
"46",24,"Female","Single",1963,"bandit-radinou","Dachshunds",426
"47",88,"Female","Married",5260,"bandit-profit","Trading Cards",65
"48",56,"Male","Married",3969,"bandit-profit","Dachshunds",385
"49",63,"Female","Single",4750,"bandit-picsou","Brass Animals",75
"50",22,"Female","Single",2125,"bandit-picsou","Trading Cards",70
"51",31,"Female","Single",2960,"bandit-radinou","Trading Cards",31
"52",29,"Male","Married",3390,"bandit-radinou","Dachshunds",343
"53",30,"Male","Single",2201,"bandit-picsou","Dachshunds",372
