"","age","gender","status","salary","bank","activity","amount","challenge"
"1",87,"Female","Married",4677,"bandit-profit","Trading Cards",50,"ID"
"2",27,"Male","Single",2923,"bandit-picsou","Trading Cards",47,"OTP"
"3",30,"Female","Single",3675,"bandit-picsou","Dachshunds",356,"OTP"
"4",52,"Male","Married",3963,"bandit-picsou","Dachshunds",302,"OTP"
"5",60,"Female","Divorced",4653,"bandit-profit","Dachshunds",515,"SMS"
"6",28,"Male","Single",2766,"bandit-donsaluste","Dachshunds",339,"SMS"
"7",73,"Male","Married",5675,"bandit-donsaluste","Brass Animals",125,"ID"
"8",64,"Female","Divorced",4658,"bandit-profit","Dachshunds",456,"OTP"
"9",55,"Male","Married",4153,"bandit-donsaluste","Dachshunds",497,"SMS"
"10",39,"Male","Married",3089,"bandit-picsou","Dachshunds",421,"SMS"
"11",31,"Male","Single",3083,"bandit-radinou","Brass Animals",101,"SMS"
"12",70,"Female","Married",5049,"bandit-picsou","Brass Animals",115,"EMAIL"
"13",27,"Male","Single",3019,"bandit-profit","Trading Cards",49,"OTP"
"14",60,"Male","Married",5433,"bandit-profit","Trading Cards",62,"OTP"
"15",64,"Female","Single",4342,"bandit-profit","Dachshunds",381,"ID"
"16",95,"Male","Widowed",5032,"bandit-picsou","Brass Animals",58,"OTP"
"17",43,"Female","Married",3292,"bandit-profit","Dachshunds",410,"EMAIL"
"18",71,"Male","Single",5306,"bandit-profit","Trading Cards",37,"SMS"
"19",63,"Female","Divorced",4977,"bandit-profit","Dachshunds",414,"OTP"
"20",79,"Male","Married",4773,"bandit-donsaluste","Brass Animals",87,"OTP"
"21",34,"Male","Married",3964,"bandit-donsaluste","Dachshunds",350,"EMAIL"
"22",21,"Male","Single",2759,"bandit-radinou","Dachshunds",434,"SMS"
"23",36,"Male","Single",3979,"bandit-picsou","Trading Cards",45,"EMAIL"
"24",55,"Female","Married",4429,"bandit-profit","Trading Cards",30,"ID"
"25",80,"Female","Widowed",5849,"bandit-donsaluste","Brass Animals",99,"OTP"
"26",76,"Male","Widowed",4572,"bandit-profit","Brass Animals",83,"OTP"
"27",52,"Male","Married",4697,"bandit-donsaluste","Trading Cards",49,"OTP"
"28",79,"Female","Married",4893,"bandit-profit","Trading Cards",39,"ID"
"29",24,"Male","Single",2610,"bandit-donsaluste","Trading Cards",43,"ID"
"30",43,"Male","Divorced",4194,"bandit-donsaluste","Dachshunds",386,"OTP"
"31",53,"Male","Divorced",4122,"bandit-donsaluste","Dachshunds",354,"OTP"
"32",66,"Female","Married",4810,"bandit-radinou","Dachshunds",379,"OTP"
"33",25,"Male","Single",3630,"bandit-picsou","Dachshunds",449,"SMS"
"34",46,"Female","Divorced",4983,"bandit-donsaluste","Dachshunds",334,"OTP"
"35",55,"Male","Single",4909,"bandit-donsaluste","Brass Animals",97,"ID"
"36",42,"Female","Single",3578,"bandit-profit","Dachshunds",436,"ID"
"37",67,"Female","Married",5367,"bandit-profit","Dachshunds",537,"OTP"
"38",54,"Male","Married",4319,"bandit-donsaluste","Dachshunds",499,"EMAIL"
"39",36,"Male","Married",4323,"bandit-picsou","Brass Animals",78,"SMS"
"40",61,"Female","Married",5152,"bandit-donsaluste","Dachshunds",366,"OTP"
"41",29,"Female","Single",3009,"bandit-picsou","Dachshunds",387,"OTP"
"42",60,"Male","Married",4149,"bandit-donsaluste","Dachshunds",349,"OTP"
"43",46,"Female","Single",3954,"bandit-donsaluste","Dachshunds",263,"ID"
"44",43,"Male","Widowed",3906,"bandit-profit","Dachshunds",487,"ID"
"45",69,"Female","Divorced",5263,"bandit-profit","Brass Animals",111,"OTP"
"46",24,"Female","Single",1963,"bandit-radinou","Dachshunds",426,"OTP"
"47",88,"Female","Married",5260,"bandit-profit","Trading Cards",65,"OTP"
"48",56,"Male","Married",3969,"bandit-profit","Dachshunds",385,"OTP"
"49",63,"Female","Single",4750,"bandit-picsou","Brass Animals",75,"OTP"
"50",22,"Female","Single",2125,"bandit-picsou","Trading Cards",70,"SMS"
"51",31,"Female","Single",2960,"bandit-radinou","Trading Cards",31,"OTP"
"52",29,"Male","Married",3390,"bandit-radinou","Dachshunds",343,"SMS"
"53",30,"Male","Single",2201,"bandit-picsou","Dachshunds",372,"EMAIL"
"54",46,"Male","Single",4662,"bandit-donsaluste","Dachshunds",387,"EMAIL"
"55",32,"Female","Single",3463,"bandit-radinou","Dachshunds",542,"EMAIL"
"56",59,"Female","Widowed",3715,"bandit-radinou","Dachshunds",387,"ID"
"57",40,"Male","Single",3855,"bandit-donsaluste","Dachshunds",435,"EMAIL"
